Wall time,Step,Value
1571346272.4796243,2370001,13.470000267028809
1571346485.6835835,2380001,13.550000190734863
1571346698.762773,2390001,13.579999923706055
1571346910.4882293,2400001,13.460000038146973
1571347123.9460776,2410001,13.579999923706055
1571347336.7043777,2420001,13.399999618530273
1571347549.1544533,2430001,13.329999923706055
1571347759.375622,2440001,13.119999885559082
1571347969.3318882,2450001,12.949999809265137
1571348179.731765,2460001,12.800000190734863
1571348390.6520536,2470001,12.739999771118164
1571348598.9326649,2480001,12.529999732971191
1571348811.6906028,2490001,12.510000228881836
1571349022.5810933,2500001,12.380000114440918
1571349232.8038495,2510001,12.40999984741211
1571349444.86999,2520001,12.489999771118164
1571349657.7020137,2530001,12.5600004196167
1571349870.46385,2540001,12.619999885559082
1571350081.265536,2550001,12.710000038146973
1571350293.4156604,2560001,12.729999542236328
1571350505.0364928,2570001,12.710000038146973
1571350716.010146,2580001,12.880000114440918
1571350926.8833725,2590001,12.9399995803833
1571351138.6037273,2600001,12.789999961853027
1571351349.2401245,2610001,12.729999542236328
1571351561.081714,2620001,12.720000267028809
1571351772.736406,2630001,12.739999771118164
1571351982.7826662,2640001,13.069999694824219
1571352192.3503551,2650001,13.0
1571352402.0843756,2660001,13.0600004196167
1571352611.277202,2670001,13.140000343322754
1571352821.5989249,2680001,13.109999656677246
1571353033.7719696,2690001,13.300000190734863
1571353246.431239,2700001,13.550000190734863
1571353458.7833626,2710001,13.739999771118164
1571353669.9607737,2720001,13.9399995803833
1571353881.7659104,2730001,14.350000381469727
1571354093.8240368,2740001,14.600000381469727
1571354305.910901,2750001,14.710000038146973
1571354516.3402479,2760001,14.680000305175781
1571354727.817275,2770001,14.800000190734863
1571354938.8108308,2780001,14.699999809265137
1571355150.1109684,2790001,14.779999732971191
1571355360.9126582,2800001,14.899999618530273
1571355571.2820146,2810001,14.930000305175781
1571355781.7641532,2820001,14.930000305175781
1571355992.1188033,2830001,14.859999656677246
1571356200.1475327,2840001,15.0
1571356406.3438537,2850001,15.109999656677246
1571356610.9958396,2860001,15.279999732971191
1571356814.8118436,2870001,15.350000381469727
1571357019.4706259,2880001,15.220000267028809
